matchid,accountid,assists,deaths,denies,firstblood,gpm,herodamage,heroheal,heroid,kills,last_hits,level,obsplaced,rune_pickups,kpm,senplaced,towerdamage,killbytower,xpm,name,duration,radiwin,win,totalgold,totalxp,kda,neukill,towerkill,courkill,lanekill,herokill,obskill,senkill,roshankill,necrokill,ancikill,obsuse,senuse,roam,obspurch,senpurch,tppurch,tenxp,tengold,tendn,tefipar,laneff,apm
3768548189,106573901,16,2,26,0,555,13445,0,43,8,217,22,0,8,0.20915032679738563,0,6970,5,527,No[o]ne-,2295,True,1,21228,20157,8,32,5,0,199,8,0,1,1,0,4,0,0,False,0,0,5,3025,2420,21,0.61538464,0.6686104966820833,428
3766681094,106573901,5,2,29,0,664,11976,0,11,6,355,23,0,6,0.17200191113234592,0,5674,3,664,No[o]ne-,2093,True,1,23162,23162,3,131,3,0,226,6,1,0,0,0,13,0,0,False,0,0,5,2604,2550,22,0.4074074,0.8652724713452644,396
3765708885,106573901,7,4,18,0,488,20640,0,43,13,268,25,0,9,0.2422360248447205,0,2643,1,508,No[o]ne-,3220,True,1,26189,27262,4,69,1,0,209,13,0,1,1,0,4,0,0,False,0,0,6,2264,2362,7,0.90909094,0.7562839332394933,394
3763798613,106573901,7,4,19,0,532,13932,0,49,2,290,22,0,11,0.05035669324381032,0,2860,2,514,No[o]ne-,2383,False,0,21129,20414,1,86,2,0,215,2,0,0,0,0,18,0,0,False,0,0,9,3364,3126,15,0.42857143,0.9603860848582345,392
3752758474,106573901,19,1,11,0,516,23350,1509,45,4,183,21,0,4,0.12145748987854252,0,12574,3,605,No[o]ne-,1976,True,1,16993,19924,11,37,3,0,151,4,1,0,0,0,5,0,0,False,0,0,5,3165,2686,5,0.6052632,0.7482404986929418,422
3752683273,106573901,4,3,27,0,428,9372,0,72,0,194,17,0,5,0,0,0,0,461,No[o]ne-,1671,False,0,11919,12838,1,53,0,0,162,0,1,0,0,0,8,0,0,False,0,0,7,2537,2221,20,0.44444445,0.6651920369997989,436
3752602284,106573901,8,2,20,0,634,24669,0,72,12,195,18,0,11,0.4768211920529801,0,2802,3,573,No[o]ne-,1510,True,1,15955,14420,6,39,3,0,155,12,0,0,0,0,7,0,0,False,0,0,3,1844,2260,12,0.7407407,0.8011260808365172,464
3752505318,106573901,10,0,20,0,723,19337,0,72,12,270,22,0,14,0.40336134453781514,0,5072,3,728,No[o]ne-,1785,True,1,21509,21658,22,110,3,0,168,12,0,0,1,0,10,0,0,False,0,0,6,2852,2966,15,0.88,0.9815001005429318,471
3751180345,106573901,14,4,18,0,636,45653,0,98,13,317,25,0,10,0.3094010313367711,0,770,1,840,No[o]ne-,2521,True,1,26722,35294,5,63,1,0,267,16,0,0,1,0,0,0,0,False,0,0,5,3632,2806,5,0.7941176,0.849788859843153,452
3751104948,106573901,5,0,18,0,568,16673,0,76,12,198,20,0,4,0.40089086859688194,0,3641,0,568,No[o]ne-,1796,True,1,17002,17002,17,46,0,0,165,12,0,0,0,0,0,0,0,False,0,2,5,2854,2345,11,0.65384614,0.734164488236477,436
